-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: mark_daniel(24) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 39.60 | Health: 35.00 | Armor: 0.00 | Time: 14:34:11 | Date: 10/02/23
[GIVE] > Name: mark_daniel(24) | Class: Dead | Weapon: Combat Shotgun | Damage: 4.95 | Health: 0.00 | Armor: 0.00 | Time: 14:34:11 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 100.00 | Time: 14:34:59 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 91.00 | Time: 14:34:59 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 84.00 | Time: 14:35:00 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 70.00 | Time: 14:35:01 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 70.00 | Time: 14:35:01 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 56.00 | Time: 14:35:01 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 42.00 | Time: 14:35:02 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 35.00 | Time: 14:35:03 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 21.00 | Time: 14:35:03 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 14.00 | Time: 14:35:04 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 100.00 | Armor: 0.00 | Time: 14:35:04 | Date: 10/02/23
[GIVE] > Name: Bombshell(0) | Class: Police Officer | Weapon: M4 | Damage: 9.90 | Health: 91.00 | Armor: 0.00 | Time: 14:35:04 | Date: 10/02/23
[GIVE] > Name: real_me(1) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 100.00 | Time: 14:40:05 | Date: 10/02/23
